Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
CEFPROZIL ,CEFPROZIL ,13996,72288,72467.1,4357177.28,59095,  ,57460,57627.4,3438837.66,  ,47123,N ,Y ,N ,N 
CEFTAZIDIME ,CEFTAZIDIME PENTAHYDRATE ,5103,14939,14952.7,2044258.79,6396,  ,9842,9849.9,1195958.75,  ,4604,N ,Y ,N ,N 
CEFTAZIDIME ,CEFTAZIDIME PENTAHYDRATE/D5W ,,17,17,3014.19,,* ,,,,* ,,N ,Y ,N ,N 
CEFTIBUTEN ,CEFTIBUTEN DIHYDRATE ,23,24,26,13575.25,22,# ,,,,# ,,N ,Y ,N ,N 
CEFTIN ,CEFUROXIME AXETIL ,1833,2492,2511.5,589477.00,1961,  ,2046,2057.5,471145.24,  ,1621,N ,Y ,N ,N 
CEFTRIAXONE ,"CEFTRIAXONE NA/DEXTROSE,ISO ",2917,10761,10761.6,1035629.13,5067,  ,9140,9140.2,835060.62,  ,4429,N ,Y ,N ,N 
CEFTRIAXONE ,CEFTRIAXONE SODIUM ,44383,284149,284243.9,22256455.00,160105,  ,238000,238054.9,16642932.42,  ,138445,N ,Y ,N ,N 
CEFUROXIME ,CEFUROXIME AXETIL ,138554,1006385,1011128.7,15811906.90,776803,  ,843961,848119.2,13156827.00,  ,652439,N ,Y ,N ,N 
CEFUROXIME SODIUM ,CEFUROXIME SODIUM ,136,252,252,26590.87,148,  ,185,185,17732.15,  ,121,N ,Y ,N ,N 
CELEBREX ,CELECOXIB ,230385,3628020,4983551,947052248.20,892029,  ,3029268,4264170.6,794679835.31,  ,756227,N ,N ,N ,N 
CELESTONE ,BETAMET ACET/BETAMET NA PH ,60,192,195,7370.27,133,  ,133,136,5008.40,  ,98,N ,N ,N ,N 
CELESTONE ,BETAMETHASONE ,14,19,19,800.07,18,* ,,,,* ,,N ,N ,N ,N 
CELEXA ,CITALOPRAM HYDROBROMIDE ,2331,9803,13809.8,2203361.25,2050,  ,6742,10041.6,1551523.93,  ,1512,N ,N ,N ,N 
CELLCEPT ,MYCOPHENOLATE MOFETIL ,2662,16796,21172.6,22474566.79,2912,  ,8229,10860.5,11059727.15,  ,1425,N ,N ,N ,N 
CELLCEPT ,MYCOPHENOLATE MOFETIL HCL ,,28,28,28895.87,,  ,0,0,0.00,  ,0,N ,N ,N ,N 
CELONTIN ,METHSUXIMIDE ,440,3288,4137.8,586255.27,364,  ,1237,1756.2,217464.64,  ,161,N ,N ,N ,N 
CENESTIN ,"ESTROGENS,CONJ.,SYNTHETIC A ",3506,14241,21687.1,2172052.12,3301,  ,10216,16362.4,1617126.19,  ,2513,N ,N ,Y ,N 
CENTANY ,MUPIROCIN ,238,550,561.4,38808.11,500,  ,475,486.4,32400.80,  ,439,N ,N ,N ,N 
CENTANY AT ,MUPIROCIN ,62,123,125,19598.35,116,  ,103,105,16189.68,  ,98,N ,N ,N ,N 
CENTRATEX ,"FE FUMARATE/FA/MV, MIN COMB#15 ",78,280,312,5297.18,77,# ,,,,# ,,N ,N ,N ,N 
CEPHALEXIN ,CEPHALEXIN ,539064,4771324,4880417.7,36875989.61,3335123,  ,3828654,3927967.7,28784803.90,  ,2673553,N ,Y ,N ,N 
CEREFOLIN ,VIT B12/LMEFOLATE CA/VIT B6/B2 ,613,2528,4774.7,553749.61,617,  ,2460,4644.7,537015.13,  ,599,N ,N ,N ,N 
CEREFOLIN NAC ,ACETYL/METHYL-B12/LMEFOLATE CA ,1099,3867,7039,708455.85,1504,  ,3793,6877,692304.25,  ,1465,N ,N ,N ,N 
CEREFOLIN NAC ,LMFOL CA/ACETYL/MB12/ALGAL OIL ,861,2344,5362.8,550012.95,1125,  ,2282,5202.8,534443.79,  ,1093,N ,N ,N ,N 
CEREZYME ,IMIGLUCERASE ,34,480,481.8,8843152.77,34,  ,236,237.8,4362199.32,  ,18,N ,N ,N ,N 
CESAMET ,NABILONE ,14,56,56.1,94262.70,18,  ,22,22,32559.11,* ,,N ,N ,N ,N 
CETIRIZINE HCL ,CETIRIZINE HCL ,3925,14429,15475.3,350248.86,5069,  ,6442,6963.6,145860.82,  ,2803,N ,N ,N ,N 
CEVIMELINE HCL ,CEVIMELINE HCL ,10760,59365,87071.4,17684099.25,14892,  ,45997,69711.9,13944893.28,  ,11869,N ,N ,N ,N 
CHANTIX ,VARENICLINE TARTRATE ,104036,371567,388129.3,74951328.77,171733,  ,142326,149934.6,28910769.11,  ,69404,N ,N ,N ,N 
CHEMET ,SUCCIMER ,57,141,155.9,86898.08,87,  ,95,102.5,54757.17,  ,59,N ,N ,N ,N 
CHENODAL ,CHENODIOL ,24,216,216,1872715.50,23,  ,50,50,410946.83,* ,,N ,N ,N ,N 
CHERATUSSIN AC ,GUAIFENESIN/CODEINE PHOSPHATE ,1387,2007,2012.7,8852.74,1592,  ,1891,1896.7,8177.63,  ,1508,N ,N ,N ,N 
CHLORDIAZEPOXIDE HCL ,CHLORDIAZEPOXIDE HCL ,29801,103910,120452.5,1022296.19,35136,  ,82291,97932.6,817880.53,  ,26931,N ,N ,N ,N 
CHLORDIAZEPOXIDE-AMITRIPTYLINE ,AMITRIP HCL/CHLORDIAZEPOXIDE ,5395,30959,40518.3,2000356.00,5879,  ,26585,35556.3,1694009.43,  ,5007,N ,N ,Y ,N 
CHLORHEXIDINE GLUCONATE ,CHLORHEXIDINE GLUCONATE ,154700,1229240,1265114.7,9118511.59,655238,  ,914045,944236.9,6687510.14,  ,525452,N ,N ,N ,N 
CHLOROQUINE PHOSPHATE ,CHLOROQUINE PHOSPHATE ,3340,9472,13664,428103.38,4478,  ,7008,10459.6,289871.53,  ,3785,N ,N ,N ,N 
CHLOROTHIAZIDE ,CHLOROTHIAZIDE ,4044,19861,34762.1,230131.21,4238,  ,17773,31975.9,208899.46,  ,3790,N ,N ,N ,N 
CHLOROTHIAZIDE SODIUM ,CHLOROTHIAZIDE SODIUM ,,43,43,48537.89,,  ,19,19,14835.01,* ,,N ,N ,N ,N 
CHLORPROMAZINE HCL ,CHLORPROMAZINE HCL ,40535,319427,338675,36074357.08,54293,  ,87246,96767.7,7132852.24,  ,21011,N ,N ,N ,Y 
CHLORPROPAMIDE ,CHLORPROPAMIDE ,868,3479,5657,195791.45,839,  ,3268,5371,187906.16,  ,778,N ,N ,Y ,N 
CHLORTHALIDONE ,CHLORTHALIDONE ,113045,1306650,2177088.7,25561599.71,291921,  ,1115963,1915132.5,22203867.77,  ,250849,N ,N ,N ,N 
CHLORZOXAZONE ,CHLORZOXAZONE ,17929,100915,112550.7,1543694.05,36341,  ,52232,60855,771200.22,  ,20827,N ,N ,Y ,N 
CHOICE-TABS ,"MV,MIN #10/FA/D3/ALIP ACID/LUT ",41,68,114,2221.87,42,# ,,,,# ,,N ,N ,N ,N 
CHOLESTYRAMINE ,CHOLESTYRAMINE (WITH SUGAR) ,78312,407673,505402,30805377.46,151774,  ,347648,436598.7,26254184.85,  ,128457,N ,N ,N ,N 
CHOLESTYRAMINE LIGHT ,CHOLESTYRAMINE/ASPARTAME ,26021,84990,106661.2,6521106.75,35017,  ,72136,91707.6,5556393.42,  ,29450,N ,N ,N ,N 
CHOLINE MAG TRISALICYLATE ,CHOLINE SAL/MAG SALICYLATE ,169,648,696.4,50232.65,181,  ,548,576.6,36951.13,  ,155,N ,N ,N ,N 
CHORIONIC GONADOTROPIN ,"CHORIONIC GONADOTROPIN, HUMAN ",233,927,1150.8,527643.70,241,  ,251,344.2,170993.68,  ,76,N ,N ,N ,N 
CIALIS ,TADALAFIL ,35607,210496,259652.9,39901867.03,58550,  ,185523,231411.5,35796329.42,  ,52400,N ,N ,N ,N 
CICLODAN ,CICLOPIROX ,84,124,197.3,6168.83,88,  ,106,177.5,5230.89,  ,73,N ,N ,N ,N 
CICLODAN ,CICLOPIROX OLAMINE ,74,129,195.3,10464.22,94,  ,109,163.8,8769.21,# ,,N ,N ,N ,N 
CICLODAN ,CICLOPIROX/SKIN CLEANSER NO.28 ,32,54,54,12328.86,49,# ,,,,# ,,N ,N ,N ,N 
CICLODAN ,CICLOPIROX/URE/CAMPH/MENTH/EUC ,24,29,29,5304.34,28,# ,,,,# ,,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX ,56694,358323,378019.6,18731867.84,186936,  ,297384,315010.4,15179132.41,  ,157721,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX OLAMINE ,31732,256775,266359,12411050.48,128422,  ,207391,215866.7,9966461.63,  ,107323,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX/URE/CAMPH/MENTH/EUC ,38,63,65,8185.36,53,  ,51,53,6531.83,  ,41,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX/VITE/NAIL LACQ REMO ,263,447,514.2,74759.12,327,  ,364,426.1,60608.65,  ,267,N ,N ,N ,N 
CIDOFOVIR ,CIDOFOVIR ,44,86,86,121887.73,44,  ,30,30,40595.75,  ,14,N ,N ,N ,N 
CILOSTAZOL ,CILOSTAZOL ,93086,1056723,1489426.7,35039271.76,204983,  ,926845,1325279.6,31057440.71,  ,180150,N ,N ,N ,N 
CILOXAN ,CIPROFLOXACIN HCL ,6060,14071,14322,1767596.52,8661,  ,11696,11929.6,1456075.50,  ,7362,N ,N ,N ,N 
CIMETIDINE ,CIMETIDINE ,33498,159415,234003.3,2548181.13,46382,  ,127159,194749.7,2082214.95,  ,37655,N ,N ,N ,N 
CIMETIDINE ,CIMETIDINE HCL ,222,552,621.4,15039.34,232,  ,306,356.8,8729.65,  ,151,N ,N ,N ,N 
CIMZIA ,CERTOLIZUMAB PEGOL ,2965,26927,29614.8,76958074.73,4395,  ,11667,13142,33488978.53,  ,1896,N ,N ,N ,N 
CINRYZE ,C1 ESTERASE INHIBITOR ,158,1432,1434.4,73350728.99,168,  ,394,394.3,16697240.28,  ,46,N ,N ,N ,N 
CIPRO ,CIPROFLOXACIN ,7008,8800,8828.6,1252311.77,7027,  ,6738,6760.4,946733.73,  ,5476,N ,Y ,N ,N 
CIPRO ,CIPROFLOXACIN HCL ,1438,2000,2060.9,209818.34,1343,  ,1756,1812.6,180514.54,  ,1196,N ,Y ,N ,N 
CIPRO HC ,CIPROFLOXACIN/HYDROCORTISONE ,15089,20815,21099.2,3652425.75,18454,  ,15649,15860.3,2745881.44,  ,13931,N ,N ,N ,N 
CIPRO I.V. ,CIPROFLOXACIN LACTATE/D5W ,,11,11,2028.77,,* ,,,,* ,,N ,Y ,N ,N 
CIPRODEX ,CIPROFLOXACIN HCL/DEXAMETH ,66208,232447,234097.7,35405259.21,173266,  ,174783,176116.7,26598827.86,  ,130972,N ,N ,N ,N 
CIPROFLOXACIN ,CIPROFLOXACIN LACTATE ,72,145,147,5557.94,80,  ,92,94,3293.61,  ,57,N ,Y ,N ,N 
CIPROFLOXACIN ER ,CIPROFLOXACIN/CIPROFLOXA HCL ,2989,4518,4582.9,379945.07,3878,  ,3705,3768.1,303447.42,  ,3178,N ,Y ,N ,N 
CIPROFLOXACIN HCL ,CIPROFLOXACIN HCL ,554304,7085209,7136094,49903118.33,4780418,  ,5917126,5960125.6,41052107.01,  ,3998679,N ,Y ,N ,N 
CIPROFLOXACIN-D5W ,CIPROFLOXACIN LACTATE/D5W ,1874,5175,5175.4,335691.04,2222,  ,3384,3384.4,195691.21,  ,1623,N ,Y ,N ,N 
CISPLATIN ,CISPLATIN ,136,586,595.8,35457.89,216,  ,473,475.2,27832.47,  ,169,N ,N ,N ,N 
CITALOPRAM HBR ,CITALOPRAM HYDROBROMIDE ,310197,10990893,15391116.1,96890691.54,1949087,  ,7942631,11646773,73748944.05,  ,1441022,N ,N ,N ,N 
CITRANATAL 90 DHA ,PN W-CA64/IRON CB&GL/FA/DSS/DH ,90,237,265.3,17088.24,91,  ,27,35.3,2181.44,* ,,N ,N ,N ,N 
CITRANATAL ASSURE ,PNV38/IRON CBN&GLUC/FA/DSS/DHA ,147,368,469,30147.87,151,  ,39,73,4673.58,  ,17,N ,N ,N ,N 
CITRANATAL B-CALM ,PRENATAL #48/IRON CB&GLU/FA/B6 ,,14,16,609.25,,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL DHA ,PNV22/IRON CBN&GLUC/FA/DSS/DHA ,41,81,113,7218.41,43,  ,20,34,2159.52,* ,,N ,N ,N ,N 
CITRANATAL HARMONY ,"PNV34/IRON,CARBONYL/FA/DSS/DHA ",20,32,34,2211.33,20,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL HARMONY ,"PNV59/IRON,CARBONYL/FA/DSS/DHA ",28,74,84,5709.80,28,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL RX ,PNV NO.22/IRON CBN&GLUC/FA/DSS ,19,38,68,3174.57,19,  ,20,38,1704.59,* ,,N ,N ,N ,N 
CLAFORAN ,CEFOTAXIME SODIUM ,72,255,255,12254.81,102,  ,177,177,6119.48,  ,76,N ,Y ,N ,N 
CLARAVIS ,ISOTRETINOIN ,1165,3406,3411.8,1495657.99,1174,  ,1374,1377.8,516922.86,  ,537,N ,N ,N ,N 
CLARIFOAM EF ,SULFACETAMIDE SODIUM/SULFUR ,21,25,35,6595.32,22,# ,,,,# ,,N ,N ,N ,N 
CLARINEX ,DESLORATADINE ,3883,13710,21244.4,3171095.09,3875,  ,10931,17588.7,2602794.24,  ,3145,N ,N ,N ,N 
CLARINEX-D 12 HOUR ,DESLORATADINE/PSEUDOEPHEDRINE ,1542,4007,5661.4,1062967.81,1679,  ,2347,3594.2,658894.66,  ,1102,N ,N ,N ,N 
CLARINEX-D 24 HOUR ,DESLORATADINE/PSEUDOEPHEDRINE ,531,865,1007.9,146804.10,544,  ,525,617.3,88630.73,  ,337,N ,N ,N ,N 
CLARITHROMYCIN ,CLARITHROMYCIN ,125324,433652,439920.8,33154577.03,353537,  ,331211,336638.4,24966547.06,  ,270725,N ,Y ,N ,N 
CLARITHROMYCIN ER ,CLARITHROMYCIN ,19711,62791,63419.6,4689483.30,50946,  ,50229,50783.3,3690060.53,  ,41254,N ,Y ,N ,N 
CLEMASTINE FUMARATE ,CLEMASTINE FUMARATE ,2390,15087,19145.6,280806.06,4729,  ,9437,12668.4,183561.01,  ,3128,N ,N ,Y ,N 
CLENIA ,SULFACETAMIDE SODIUM/SULFUR ,26,29,30,4034.88,27,# ,,,,# ,,N ,N ,N ,N 
CLEOCIN ,CLINDAMYCIN PHOSPHATE ,2265,3528,3556.8,395834.72,2855,  ,2310,2336.1,262428.55,  ,1892,N ,N ,N ,N 
CLEOCIN HCL ,CLINDAMYCIN HCL ,188,225,232.5,27089.14,183,  ,185,192.5,23045.09,  ,147,N ,Y ,N ,N 
CLEOCIN PALMITATE ,CLINDAMYCIN PALMITATE HCL ,84,111,111,24950.60,82,  ,70,70,15768.22,  ,57,N ,Y ,N ,N 
CLEOCIN PHOSPHATE ,CLINDAMYCIN PHOSPHATE ,259,666,666.4,87179.11,288,  ,436,436.4,50416.07,  ,202,N ,Y ,N ,N 
CLEOCIN PHOSPHATE IN D5W ,CLINDAMYCIN PHOSPHATE/D5W ,214,431,438.2,59069.62,242,  ,319,326.2,43519.41,  ,183,N ,Y ,N ,N 
CLEOCIN T ,CLINDAMYCIN PHOSPHATE ,126,256,293,27222.72,123,  ,156,182,15869.57,  ,83,N ,N ,N ,N 
CLICKFINE ,"NEEDLES, INSULIN DISPOSABLE ",16179,56154,91505.3,1143966.65,21759,  ,41597,69553.9,847114.17,  ,16060,N ,N ,N ,N 
CLIMARA ,ESTRADIOL ,8419,35893,78293.4,4667005.60,9954,  ,31233,69680.8,4093729.93,  ,8745,N ,N ,Y ,N 
CLIMARA PRO ,ESTRADIOL/LEVONORGESTREL ,1990,8540,12448,1354660.58,1990,  ,6397,9823.5,1063873.62,  ,1489,N ,N ,Y ,N 
CLINDACIN P ,CLINDAMYCIN PHOSPHATE ,53,107,139.5,4856.15,53,  ,56,69.7,2895.17,  ,30,N ,N ,N ,N 
CLINDACIN PAC ,CLINDAMYCIN PHOS/SKIN CLNSR 19 ,23,34,42,9972.32,23,# ,,,,# ,,N ,N ,N ,N 
CLINDAGEL ,CLINDAMYCIN PHOSPHATE ,1000,1572,1754,845148.09,1061,  ,1028,1177.5,549960.97,  ,739,N ,N ,N ,N 
CLINDAMAX ,CLINDAMYCIN PHOSPHATE ,11,15,15,815.19,11,* ,,,,* ,,N ,N ,N ,N 
CLINDAMYCIN HCL ,CLINDAMYCIN HCL ,411919,1863115,1870165.8,23477793.02,1355342,  ,1363823,1369423.8,15867458.59,  ,996109,N ,Y ,N ,N 
CLINDAMYCIN PALMITATE HCL ,CLINDAMYCIN PALMITATE HCL ,4071,5106,5114,993140.67,4065,  ,3441,3447.7,653468.37,  ,2738,N ,Y ,N ,N 
CLINDAMYCIN PEDIATRIC ,CLINDAMYCIN PALMITATE HCL ,1090,1246,1246.4,267987.43,1046,  ,775,775.2,155937.43,  ,657,N ,Y ,N ,N 
CLINDAMYCIN PHOS-BENZOYL PEROX ,CLINDAMYCIN PHOS/BENZOYL PEROX ,1382,2540,2678.1,408509.36,1520,  ,1231,1318.4,199863.51,  ,823,N ,N ,N ,N 
CLINDAMYCIN PHOSPHATE ,CLINDAMYCIN PHOSPHATE ,72600,324590,338212.9,21633085.58,174197,  ,179573,189198.9,12043019.31,  ,110544,N ,Y ,N ,N 
CLINDAMYCIN PHOSPHATE-D5W ,CLINDAMYCIN PHOSPHATE/D5W ,175,414,416,47979.34,190,  ,305,307,32867.38,  ,151,N ,Y ,N ,N 
CLINDAMYCIN-BENZOYL PEROXIDE ,CLINDAMYCIN PHOS/BENZOYL PEROX ,7067,15977,16584.5,3337628.47,8305,  ,5703,6034.9,1174427.85,  ,3548,N ,N ,N ,N 
CLINDESSE ,CLINDAMYCIN PHOSPHATE ,221,253,257,23532.44,237,  ,178,182,16908.26,  ,164,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 4.25 %/DEXTROSE 5% ,,13,13,1777.81,,# ,,,,# ,,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 5 %/DEXTROSE 15 % ,,35,35,7052.29,,# ,,,,# ,,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 5 %/DEXTROSE 20 % ,,65,65,12267.77,,  ,65,65,12267.77,* ,,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 5 %/DEXTROSE 25 % ,,19,19,2473.21,,  ,19,19,2473.21,* ,,N ,N ,N ,N 
CLINIMIX E ,AA 4.25%/CALCIUM/LYTES/D25W ,,18,18,4477.39,,* ,,,,* ,,N ,N ,N ,N 
CLINIMIX E ,AA 4.25%/CALCIUM/LYTES/D5W ,12,50,50,27596.20,11,  ,24,24,6660.35,* ,,N ,N ,N ,N 
CLINIMIX E ,AA 4.25%/CALCIUM/LYTES/DEX 10% ,11,147,147,23788.57,11,  ,131,131,19819.91,* ,,N ,N ,N ,N 
CLINIMIX E ,AA 5 %/CALCIUM/LYTES/DEXT 15 % ,30,115,115,30713.09,31,  ,86,86,21447.70,  ,20,N ,N ,N ,N 
CLINIMIX E ,AA 5 %/CALCIUM/LYTES/DEXT 20 % ,21,90,90,29778.42,21,  ,62,62,17227.47,# ,,N ,N ,N ,N 
CLINISOL ,PARENTERAL AMINO ACID 15% NO.1 ,408,11279,11279,1948803.37,655,  ,7071,7071,1213048.70,  ,412,N ,N ,N ,N 
CLINPRO 5000 ,SODIUM FLUORIDE ,593,1147,1471.7,20197.31,729,  ,1042,1344.5,18405.41,  ,664,N ,N ,N ,N 
CLOBETASOL EMOLLIENT ,CLOBETASOL PROPIONATE/EMOLL ,19336,56888,59536.7,2594419.07,33359,  ,48164,50503.8,2143500.45,  ,28672,N ,N ,N ,N 
CLOBETASOL EMULSION ,CLOBETASOL PROPIONATE/EMOLL ,1646,2687,3019.1,898400.10,1890,  ,2290,2601.5,767769.47,  ,1637,N ,N ,N ,N 
CLOBETASOL PROPIONATE ,CLOBETASOL PROPIONATE ,181248,1782550,1860874.3,66079228.07,901395,  ,1491927,1562700.2,54497620.99,  ,775545,N ,N ,N ,N 
CLOBEX ,CLOBETASOL PROPIONATE ,6505,18342,20416.7,8918319.20,10255,  ,14978,16920.1,7259458.31,  ,8820,N ,N ,N ,N 
CLODERM ,CLOCORTOLONE PIVALATE ,2757,5574,5800.2,1720710.13,4067,  ,4891,5103.6,1493587.00,  ,3647,N ,N ,N ,N 
CLOMIPHENE CITRATE ,CLOMIPHENE CITRATE ,81,291,457.3,14986.13,98,  ,231,381.8,12262.03,  ,78,N ,N ,N ,N 
CLOMIPRAMINE HCL ,CLOMIPRAMINE HCL ,16589,142132,162265.9,42214821.91,18722,  ,43970,56196.7,12168638.85,  ,6598,N ,N ,Y ,N 
CLONAZEPAM ,CLONAZEPAM ,297906,8920243,9857562,73448348.42,1394001,  ,4201982,4920083,34729067.67,  ,749983,N ,N ,N ,N 
CLONIDINE ,CLONIDINE ,75957,558755,686813.9,104582563.51,109034,  ,453526,565962.7,85131048.36,  ,86733,N ,N ,N ,N 
CLONIDINE HCL ,CLONIDINE HCL ,265275,4977310,6864587,47405907.71,979989,  ,3548851,5145614.8,34296520.58,  ,720106,N ,N ,N ,N 
CLONIDINE HCL ,CLONIDINE HCL/PF ,,31,33,4186.73,,* ,,,,* ,,N ,N ,N ,N 
CLONIDINE HCL ER ,CLONIDINE HCL ,190,280,343.5,72044.04,190,  ,114,161,28420.84,  ,89,N ,N ,N ,N 
CLOPIDOGREL ,CLOPIDOGREL BISULFATE ,346840,15324997,23372319,661390844.94,2685348,  ,13333981,20673859.1,576780696.95,  ,2351125,N ,N ,N ,N 
CLORAZEPATE DIPOTASSIUM ,CLORAZEPATE DIPOTASSIUM ,42280,333204,381087.6,6553676.44,68886,  ,255681,299167.1,4813329.31,  ,55580,N ,N ,N ,N 
CLORPRES ,CLONIDINE HCL/CHLORTHALIDONE ,350,1603,2649.1,231507.47,323,  ,1460,2440.9,209049.57,  ,287,N ,N ,N ,N 
CLOTRIMAZOLE ,CLOTRIMAZOLE ,156702,660904,674874.7,20075955.31,368277,  ,479366,490504.4,14355434.75,  ,270501,N ,N ,N ,N 
CLOTRIMAZOLE-BETAMETHASONE ,CLOTRIMAZOLE/BETAMETHASONE DIP ,182546,1545342,1584408,82854317.62,835694,  ,1254593,1288914.1,66901450.57,  ,688554,N ,N ,N ,N 
CLOZAPINE ,CLOZAPINE ,28727,1124585,1126509.9,107249695.82,61337,  ,155577,155915.6,9391644.91,  ,8142,N ,N ,N ,Y 
CLOZAPINE ODT ,CLOZAPINE ,1545,30723,30768.6,10400878.42,2166,  ,3397,3398.1,675827.47,  ,226,N ,N ,N ,Y 
CLOZARIL ,CLOZAPINE ,1463,18603,18642.1,15813842.54,1329,  ,1270,1273.7,716359.70,  ,95,N ,N ,N ,Y 
CNL 8 ,CICLOPIROX/NAIL LACQUER REMOVR ,93,131,161,34680.74,113,  ,117,147,31076.29,  ,102,N ,N ,N ,N 
CO-GESIC ,HYDROCODONE/ACETAMINOPHEN ,15,39,39,478.27,15,# ,,,,# ,,Y ,N ,N ,N 
COARTEM ,ARTEMETHER/LUMEFANTRINE ,66,491,502.4,73014.52,171,  ,158,159.7,21199.43,  ,63,N ,N ,N ,N 
CODEINE SULFATE ,CODEINE SULFATE ,10722,30702,32578.2,1670526.89,9588,  ,21193,22739.7,1053670.90,  ,7092,Y ,N ,N ,N 
COGENTIN ,BENZTROPINE MESYLATE ,,12,12,6778.45,,* ,,,,* ,,N ,N ,N ,N 
COLAZAL ,BALSALAZIDE DISODIUM ,88,308,499,155711.77,81,  ,280,460,142578.48,# ,,N ,N ,N ,N 
COLCRYS ,COLCHICINE ,179104,1385858,1659761.7,280737868.61,431101,  ,1157128,1400285.5,232440306.52,  ,366508,N ,N ,N ,N 
COLESTID ,COLESTIPOL HCL ,906,2160,2768.1,359495.34,919,  ,1939,2515.3,326377.08,  ,800,N ,N ,N ,N 
COLESTIPOL HCL ,COLESTIPOL HCL ,31763,233394,334750.4,15187972.27,60935,  ,190712,282790.5,12779009.71,  ,50399,N ,N ,N ,N 
COLISTIMETHATE ,COLISTIN (COLISTIMETHATE NA) ,101,223,240.6,178738.53,120,  ,104,108.8,76732.90,  ,51,N ,N ,N ,N 
COLISTIMETHATE SODIUM ,COLISTIN (COLISTIMETHATE NA) ,939,3816,3928.8,2607186.80,1201,  ,1650,1725.4,838504.83,  ,522,N ,N ,N ,N 
COLOCORT ,HYDROCORTISONE ,885,2033,2205.8,322549.72,921,  ,1750,1910.8,287345.35,  ,807,N ,N ,N ,N 
COLY-MYCIN M PARENTERAL ,COLISTIN (COLISTIMETHATE NA) ,42,106,106.1,100478.24,39,  ,41,41.1,79539.06,  ,18,N ,N ,N ,N 
COLY-MYCIN S ,NEOMY SULF/COLIST SUL/HC/THONZ ,1466,1817,1827.5,91646.43,1583,  ,1410,1420.5,71122.45,  ,1231,N ,N ,N ,N 
COLYTE WITH FLAVOR PACKETS ,"PEG 3350/NA SULF,BICARB,CL/KCL ",1505,4222,4249.6,135072.34,4116,  ,3453,3470.5,110205.03,  ,3373,N ,N ,N ,N 
COLYTE WITH FLAVOR PACKS ,"PEG 3350/NA SULF,BICARB,CL/KCL ",1143,3169,3213.4,127323.95,3112,  ,2694,2736.4,107308.46,  ,2668,N ,N ,N ,N 
COMBIGAN ,BRIMONIDINE TARTRATE/TIMOLOL ,47540,1067131,1335772.5,141294672.69,224997,  ,990793,1246291.3,131725504.89,  ,208603,N ,N ,N ,N 
COMBIPATCH ,ESTRADIOL/NORETHINDRONE ACET ,5952,27321,37712.2,2701347.84,6536,  ,18260,26729,1899130.50,  ,4451,N ,N ,Y ,N 
COMBIVENT ,IPRATROPIUM/ALBUTEROL SULFATE ,145561,767038,906397.7,214074656.73,327499,  ,559571,671603.5,158849123.10,  ,245560,N ,N ,N ,N 
COMBIVENT RESPIMAT ,IPRATROPIUM/ALBUTEROL SULFATE ,145823,1019536,1192885.7,317711995.17,352704,  ,725896,866944.4,230364808.80,  ,263430,N ,N ,N ,N 
COMBIVIR ,LAMIVUDINE/ZIDOVUDINE ,1030,4908,5301.7,4600674.72,1057,  ,1681,1860.1,1588113.95,  ,345,N ,N ,N ,N 
COMETRIQ ,CABOZANTINIB S-MALATE ,106,360,360.1,3604849.25,117,  ,263,263.1,2642499.51,  ,93,N ,N ,N ,N 
COMFORT EZ ,"NEEDLES, INSULIN DISPOSABLE ",6331,11899,25026.3,759904.09,7103,  ,6142,12209.6,347184.92,  ,3417,N ,N ,N ,N 
COMFORT EZ ,"SYRING W-NDL,DISP,INSUL,0.3ML ",1284,1657,4207,111947.59,1311,  ,784,2028.4,51887.39,  ,633,N ,N ,N ,N 
COMFORT EZ ,"SYRING W-NDL,DISP,INSUL,0.5ML ",1698,2997,6406.5,156544.76,1735,  ,1633,3273,74104.71,  ,875,N ,N ,N ,N 
COMFORT EZ ,"SYRINGE & NEEDLE,INSULIN,1 ML ",1846,2831,6839.7,184187.34,1889,  ,1295,2968.4,73342.92,  ,830,N ,N ,N ,N 
COMPAZINE ,PROCHLORPERAZINE MALEATE ,31,35,35,5648.62,32,  ,21,21,3675.37,  ,18,N ,N ,N ,N 
