Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
CARISOPRODOL COMPOUND-CODEINE ,CODEINE/CARISOPRODOL/ASPIRIN ,136,545,595.5,105639.47,121,  ,359,390,63428.15,  ,77,Y ,N ,Y ,N 
CARISOPRODOL-ASPIRIN ,CARISOPRODOL/ASPIRIN ,159,389,501.1,59011.31,155,  ,268,372.1,47113.18,  ,106,N ,N ,Y ,N 
CARISOPRODOL-ASPIRIN-CODEINE ,CODEINE/CARISOPRODOL/ASPIRIN ,89,292,351.7,64021.68,79,  ,203,249.7,41233.57,  ,49,Y ,N ,Y ,N 
CARNITOR ,LEVOCARNITINE ,132,1316,1382.6,242659.42,133,  ,418,439,59096.93,  ,39,N ,N ,N ,N 
CARNITOR ,LEVOCARNITINE (WITH SUGAR) ,16,89,97.4,15684.26,12,* ,,,,* ,,N ,N ,N ,N 
CARNITOR SF ,LEVOCARNITINE ,22,134,139.6,20399.94,18,  ,17,18.4,2997.73,* ,,N ,N ,N ,N 
CARTEOLOL HCL ,CARTEOLOL HCL ,3942,28368,45535.9,468953.02,6831,  ,27495,44356.2,454974.16,  ,6641,N ,N ,N ,N 
CARTIA XT ,DILTIAZEM HCL ,115440,833006,1593894.9,34039406.23,216971,  ,750391,1456338.4,30963894.99,  ,195861,N ,N ,N ,N 
CARVEDILOL ,CARVEDILOL ,342284,13931341,22019032.5,139594344.05,2508484,  ,11698751,18901399.4,119201459.14,  ,2113509,N ,N ,N ,N 
CASODEX ,BICALUTAMIDE ,287,1099,1579.5,832441.50,261,# ,,,,# ,,N ,N ,N ,N 
CATAFLAM ,DICLOFENAC POTASSIUM ,138,237,261.4,74924.42,133,  ,186,210.4,59118.46,  ,104,N ,N ,N ,N 
CATAPRES ,CLONIDINE HCL ,726,3006,4643.9,872947.34,636,  ,2650,4160.8,752139.45,  ,564,N ,N ,N ,N 
CATAPRES-TTS 1 ,CLONIDINE ,663,2492,3226.7,580631.69,611,  ,2073,2723.8,492454.08,  ,473,N ,N ,N ,N 
CATAPRES-TTS 2 ,CLONIDINE ,1245,5610,7459.3,2447010.63,1109,  ,4503,6129.4,1981561.42,  ,875,N ,N ,N ,N 
CATAPRES-TTS 3 ,CLONIDINE ,1299,5806,8003.7,3526579.92,1155,  ,4475,6410.4,2757833.33,  ,879,N ,N ,N ,N 
CAVAN-EC SOD DHA ,PNV48/IRON NA FEREDETAT/FA/OM3 ,,19,25,2633.25,,* ,,,,* ,,N ,N ,N ,N 
CAVERJECT ,ALPROSTADIL ,17,36,42.5,14181.05,17,# ,,,,# ,,N ,N ,N ,N 
CAYSTON ,AZTREONAM LYSINE ,402,2852,2871.6,17671897.73,844,  ,420,427.1,2631002.54,  ,116,N ,Y ,N ,N 
CAZIANT ,DESOGESTREL-ETHINYL ESTRADIOL ,128,614,813,18725.78,112,  ,0,0,0.00,  ,0,N ,N ,N ,N 
CEDAX ,CEFTIBUTEN DIHYDRATE ,471,748,750,228670.63,646,  ,592,594,180436.32,  ,513,N ,Y ,N ,N 
CEENU ,LOMUSTINE ,19,33,33,1928.88,19,  ,16,16,1103.74,* ,,N ,N ,N ,N 
CEFACLOR ,CEFACLOR ,7613,20556,21668.2,1060690.32,13834,  ,16838,17817.4,848870.84,  ,11262,N ,Y ,N ,N 
CEFACLOR ER ,CEFACLOR ,170,237,243,27711.29,193,  ,193,199,23575.13,  ,155,N ,Y ,N ,N 
CEFADROXIL ,CEFADROXIL ,34596,205808,211361.2,2949375.50,158189,  ,170570,175420.1,2372816.73,  ,131814,N ,Y ,N ,N 
CEFAZOLIN ,"CEFAZOLIN SODIUM/DEXTROSE,ISO ",180,556,556.1,80050.94,183,  ,352,352,50541.98,  ,121,N ,Y ,N ,N 
CEFAZOLIN SODIUM ,CEFAZOLIN SODIUM ,6272,28061,28070.4,1971208.07,8698,  ,18204,18209.7,1233318.19,  ,5921,N ,Y ,N ,N 
CEFAZOLIN SODIUM ,"CEFAZOLIN SODIUM/DEXTROSE,ISO ",424,1248,1248.3,71075.61,480,  ,1026,1026.2,57332.36,  ,397,N ,Y ,N ,N 
CEFDINIR ,CEFDINIR ,111296,751819,753157.2,28156852.55,608886,  ,600945,602029.6,22079429.72,  ,489386,N ,Y ,N ,N 
CEFDITOREN PIVOXIL ,CEFDITOREN PIVOXIL ,123,175,183,49107.76,147,  ,139,147,41262.86,  ,113,N ,Y ,N ,N 
CEFEPIME ,"CEFEPIME HCL/DEXTROSE, ISO-OSM ",1106,5096,5096.1,1144543.10,1663,  ,3876,3876.1,836216.33,  ,1323,N ,Y ,N ,N 
CEFEPIME HCL ,CEFEPIME HCL ,12035,50217,50235.3,8610700.19,18810,  ,33059,33068.6,5195487.04,  ,13395,N ,Y ,N ,N 
CEFEPIME-DEXTROSE ,CEFEPIME HCL/D5W ,73,177,177,21515.30,91,  ,110,110,13406.98,  ,62,N ,Y ,N ,N 
CEFOTAXIME SODIUM ,CEFOTAXIME SODIUM ,116,198,200.1,15469.75,124,  ,134,136,8355.47,  ,95,N ,Y ,N ,N 
CEFOTETAN ,CEFOTETAN DISODIUM ,110,219,220.3,30927.02,130,  ,169,170.3,24215.47,  ,106,N ,Y ,N ,N 
CEFOTETAN & DEXTROSE ,"CEFOTETAN DISOD/DEXTROSE,ISO ",20,52,52,8723.26,20,  ,41,41,7404.16,# ,,N ,Y ,N ,N 
CEFOXITIN ,CEFOXITIN SODIUM ,643,2502,2505.8,597546.58,704,  ,1795,1796.7,353461.05,  ,585,N ,Y ,N ,N 
CEFOXITIN SODIUM ,"CEFOXITIN SODIUM/DEXTROSE,ISO ",12,26,26,3194.94,13,# ,,,,# ,,N ,Y ,N ,N 
CEFPODOXIME PROXETIL ,CEFPODOXIME PROXETIL ,38195,116395,117398.5,11740953.03,93026,  ,98618,99496,9761855.83,  ,78988,N ,Y ,N ,N 
CEFPROZIL ,CEFPROZIL ,12595,66276,66486,3038500.62,54467,  ,53303,53497.7,2405235.78,  ,43955,N ,Y ,N ,N 
CEFTAZIDIME ,CEFTAZIDIME ,4862,14662,14673.7,1952759.55,6182,  ,9922,9927.5,1161125.01,  ,4479,N ,Y ,N ,N 
CEFTAZIDIME ,CEFTAZIDIME IN DEXTROSE5%WATER ,17,66,66,11415.35,18,  ,37,37,4260.38,# ,,N ,Y ,N ,N 
CEFTIBUTEN ,CEFTIBUTEN DIHYDRATE ,293,487,497.1,157264.35,412,  ,400,410.1,133485.22,  ,335,N ,Y ,N ,N 
CEFTIN ,CEFUROXIME AXETIL ,1763,2318,2344.6,597170.41,1827,  ,1914,1938.7,480171.91,  ,1511,N ,Y ,N ,N 
CEFTRIAXONE ,"CEFTRIAXONE NA/DEXTROSE,ISO ",3325,11843,11843,1042266.84,5747,  ,10164,10164,863630.03,  ,4997,N ,Y ,N ,N 
CEFTRIAXONE ,CEFTRIAXONE SODIUM ,43998,276713,276804.7,17533504.80,153966,  ,230719,230770.1,12959294.17,  ,132859,N ,Y ,N ,N 
CEFUROXIME ,CEFUROXIME AXETIL ,142144,1020317,1025863.6,33908551.83,790168,  ,862827,867761.6,28293467.95,  ,668639,N ,Y ,N ,N 
CEFUROXIME SODIUM ,CEFUROXIME SODIUM ,133,288,288.8,33646.03,140,  ,218,218.8,25742.68,  ,114,N ,Y ,N ,N 
CELEBREX ,CELECOXIB ,226833,3359630,4623982.1,1065793333.40,851098,  ,2791204,3938703.5,890230859.85,  ,718725,N ,N ,N ,N 
CELECOXIB ,CELECOXIB ,58960,88806,132005.8,19568205.98,87946,  ,74030,112715,16367866.39,  ,73273,N ,N ,N ,N 
CELESTONE ,BETAMET ACET/BETAMET NA PH ,76,312,316,12361.60,192,  ,203,207,7784.79,  ,139,N ,N ,N ,N 
CELEXA ,CITALOPRAM HYDROBROMIDE ,2349,9727,14290.9,2559835.09,2043,  ,6876,10648.6,1847550.33,  ,1507,N ,N ,N ,N 
CELLCEPT ,MYCOPHENOLATE MOFETIL ,2662,15520,19777.5,22570446.93,2829,  ,7436,10043.2,11131700.87,  ,1328,N ,N ,N ,N 
CELONTIN ,METHSUXIMIDE ,423,3219,4049.3,656877.01,375,  ,1290,1839.5,264499.58,  ,174,N ,N ,N ,N 
CENESTIN ,"ESTROGENS,CONJ.,SYNTHETIC A ",2358,7126,10014.7,1090841.95,2270,  ,5535,8022.5,862165.90,  ,1782,N ,N ,Y ,N 
CENTANY ,MUPIROCIN ,134,244,250,35534.71,218,  ,215,221,30474.40,  ,193,N ,N ,N ,N 
CENTANY AT ,MUPIROCIN ,40,85,87,14219.62,72,  ,72,74,11938.57,  ,59,N ,N ,N ,N 
CEPHALEXIN ,CEPHALEXIN ,557048,5040219,5173954.2,36987401.50,3529303,  ,4094813,4216928.4,29431480.39,  ,2860773,N ,Y ,N ,N 
CEREZYME ,IMIGLUCERASE ,41,615,615,10719892.28,39,  ,241,241,4109548.65,  ,19,N ,N ,N ,N 
CESAMET ,NABILONE ,20,65,70.1,109915.71,23,  ,32,36,45623.20,* ,,N ,N ,N ,N 
CETIRIZINE HCL ,CETIRIZINE HCL ,4415,15981,17430.2,355363.20,5865,  ,7005,7747.5,145264.84,  ,3330,N ,N ,N ,N 
CEVIMELINE HCL ,CEVIMELINE HCL ,12395,74938,109563.5,21791692.79,17453,  ,58962,88664.1,17410327.21,  ,14067,N ,N ,N ,N 
CHANTIX ,VARENICLINE TARTRATE ,103533,376486,395011.9,87331237.14,167934,  ,149752,158792.1,34981930.61,  ,70401,N ,N ,N ,N 
CHEMET ,SUCCIMER ,48,105,130.5,102597.38,63,  ,71,85.6,61285.91,  ,45,N ,N ,N ,N 
CHENODAL ,CHENODIOL ,25,244,244,8524316.82,27,  ,63,63,2176052.60,* ,,N ,N ,N ,N 
CHERATUSSIN AC ,GUAIFENESIN/CODEINE PHOSPHATE ,39,63,63.4,1133.23,50,# ,,,,# ,,N ,N ,N ,N 
CHLORDIAZEPOXIDE HCL ,CHLORDIAZEPOXIDE HCL ,27611,107712,126735.4,1016548.73,30182,  ,86483,104414.6,824283.04,  ,23156,N ,N ,N ,N 
CHLORDIAZEPOXIDE-AMITRIPTYLINE ,AMITRIP HCL/CHLORDIAZEPOXIDE ,4926,28034,37116.8,2099506.31,5305,  ,24174,32646.5,1804811.50,  ,4559,N ,N ,Y ,N 
CHLORHEXIDINE GLUCONATE ,CHLORHEXIDINE GLUCONATE ,162522,1364821,1407593.2,9202556.00,742222,  ,1031466,1067885.7,6873880.26,  ,600405,N ,N ,N ,N 
CHLOROQUINE PHOSPHATE ,CHLOROQUINE PHOSPHATE ,3531,9591,14179.5,379045.64,4764,  ,7210,11002.2,257971.55,  ,4089,N ,N ,N ,N 
CHLOROTHIAZIDE ,CHLOROTHIAZIDE ,4117,18907,34012.7,466678.21,4310,  ,16690,30983.7,418793.40,  ,3812,N ,N ,N ,N 
CHLOROTHIAZIDE SODIUM ,CHLOROTHIAZIDE SODIUM ,,25,25,27693.24,,* ,,,,* ,,N ,N ,N ,N 
CHLORPROMAZINE HCL ,CHLORPROMAZINE HCL ,40711,317801,337633.9,51398174.61,53930,  ,86217,95848,9795297.00,  ,20943,N ,N ,N ,Y 
CHLORPROPAMIDE ,CHLORPROPAMIDE ,661,2724,4609.2,205068.58,634,  ,2528,4349.1,194539.49,  ,592,N ,N ,Y ,N 
CHLORTHALIDONE ,CHLORTHALIDONE ,125820,1445880,2498934,38817152.93,321472,  ,1234231,2196888.6,33774058.16,  ,276529,N ,N ,N ,N 
CHLORZOXAZONE ,CHLORZOXAZONE ,16313,84273,94799.2,2038788.93,30151,  ,40734,48397.2,1004682.35,  ,16361,N ,N ,Y ,N 
CHOICE-OB + DHA ,PRENATAL VITS #33/IRON/FA/DHA ,,15,19,1121.32,11,  ,0,0,0.00,  ,0,N ,N ,N ,N 
CHOLESTYRAMINE ,CHOLESTYRAMINE (WITH SUGAR) ,79479,417374,523135.7,44764731.79,154636,  ,356998,452975.7,38373254.07,  ,130830,N ,N ,N ,N 
CHOLESTYRAMINE LIGHT ,CHOLESTYRAMINE/ASPARTAME ,28054,97124,124323.7,10232456.08,38262,  ,82801,107466.2,8733550.56,  ,32370,N ,N ,N ,N 
CHOLINE MAG TRISALICYLATE ,CHOLINE SAL/MAG SALICYLATE ,76,261,295.5,26730.07,80,  ,218,229.7,16370.64,  ,67,N ,N ,N ,N 
CHORIONIC GONADOTROPIN ,"CHORIONIC GONADOTROPIN, HUMAN ",210,849,1076.8,526612.22,217,  ,262,368.7,154023.87,  ,76,N ,N ,N ,N 
CIALIS ,TADALAFIL ,24446,192968,248649,40595800.77,41237,  ,162966,214453.2,34892067.06,  ,35538,N ,N ,N ,N 
CICLODAN ,CICLOPIROX ,141,203,292.7,7494.06,153,  ,180,263.7,6612.49,  ,133,N ,N ,N ,N 
CICLODAN ,CICLOPIROX OLAMINE ,55,98,143,6309.56,70,  ,84,128.5,5435.68,# ,,N ,N ,N ,N 
CICLODAN ,CICLOPIROX/SKIN CLEANSER NO.28 ,21,27,29,6644.51,26,# ,,,,# ,,N ,N ,N ,N 
CICLODAN ,CICLOPIROX/URE/CAMPH/MENTH/EUC ,30,38,44,7946.39,36,  ,27,31,5628.25,  ,25,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX ,60456,393684,416610,22170797.78,205465,  ,326879,347188.7,18125709.74,  ,173508,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX OLAMINE ,32080,261528,271862,11586831.68,130973,  ,213361,222569.9,9404705.38,  ,110627,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX/URE/CAMPH/MENTH/EUC ,72,101,115.1,16949.80,77,  ,80,94,14205.01,  ,58,N ,N ,N ,N 
CICLOPIROX ,CICLOPIROX/VITE/NAIL LACQ REMO ,49,63,76,11215.21,52,  ,45,56,7750.01,  ,39,N ,N ,N ,N 
CIDOFOVIR ,CIDOFOVIR ,51,101,101,177765.95,46,  ,28,28,48540.73,  ,15,N ,N ,N ,N 
CILOSTAZOL ,CILOSTAZOL ,93397,1029038,1488682.5,27770367.64,204629,  ,902075,1325314.1,24651192.76,  ,179797,N ,N ,N ,N 
CILOXAN ,CIPROFLOXACIN HCL ,5421,11877,12061.8,1614031.22,7405,  ,9967,10142.4,1339009.64,  ,6387,N ,N ,N ,N 
CIMETIDINE ,CIMETIDINE ,31102,145042,218178.4,3448432.99,41977,  ,116128,182123.3,2834676.18,  ,34231,N ,N ,N ,N 
CIMETIDINE ,CIMETIDINE HCL ,269,766,868.9,21877.70,267,  ,402,473.8,12031.32,  ,175,N ,N ,N ,N 
CIMZIA ,CERTOLIZUMAB PEGOL ,3332,30734,34507.3,109916902.68,4998,  ,13600,15576.2,48280201.46,  ,2135,N ,N ,N ,N 
CINRYZE ,C1 ESTERASE INHIBITOR ,196,1820,1823.1,96155784.83,194,  ,586,587.3,25469004.60,  ,64,N ,N ,N ,N 
CIPRO ,CIPROFLOXACIN ,4806,5731,5763.5,867478.47,4760,  ,4442,4468.6,662523.59,  ,3717,N ,Y ,N ,N 
CIPRO ,CIPROFLOXACIN HCL ,1376,1961,2027.9,233258.64,1247,  ,1733,1799.7,201849.12,  ,1127,N ,Y ,N ,N 
CIPRO HC ,CIPROFLOXACIN/HYDROCORTISONE ,12889,17109,17405.8,3315531.31,15110,  ,12779,13011.9,2479359.20,  ,11361,N ,N ,N ,N 
CIPRODEX ,CIPROFLOXACIN HCL/DEXAMETH ,67226,227749,229662.5,36657202.87,168742,  ,172788,174280.5,27783447.93,  ,128535,N ,N ,N ,N 
CIPROFLOXACIN ,CIPROFLOXACIN ,3033,3389,3405.7,438909.10,2991,  ,2551,2560,324409.76,  ,2285,N ,Y ,N ,N 
CIPROFLOXACIN ,CIPROFLOXACIN LACTATE ,73,125,125,4670.30,78,  ,83,83,1899.29,  ,57,N ,Y ,N ,N 
CIPROFLOXACIN ER ,CIPROFLOXACIN/CIPROFLOXA HCL ,3240,4499,4571.2,395151.24,3933,  ,3700,3759.9,316848.51,  ,3209,N ,Y ,N ,N 
CIPROFLOXACIN HCL ,CIPROFLOXACIN HCL ,568201,7253018,7310229.9,46728353.47,4926835,  ,6113671,6162466.7,38849899.32,  ,4156274,N ,Y ,N ,N 
CIPROFLOXACIN-D5W ,CIPROFLOXACIN LACTATE/D5W ,1791,4852,4853.3,346789.82,2054,  ,3292,3292.2,207495.67,  ,1539,N ,Y ,N ,N 
CISPLATIN ,CISPLATIN ,152,755,758.5,43000.58,250,  ,631,633.3,35253.61,  ,210,N ,N ,N ,N 
CITALOPRAM HBR ,CITALOPRAM HYDROBROMIDE ,312408,10792981,15659666.7,83748951.42,1934239,  ,7821282,11925241.7,64165854.54,  ,1441443,N ,N ,N ,N 
CITRANATAL 90 DHA ,PN W-CA64/IRON CB&GL/FA/DSS/DH ,83,156,182,12286.48,84,  ,14,19,1171.59,* ,,N ,N ,N ,N 
CITRANATAL 90 DHA ,"PNV72/IRON,CARB&GLU/FA/DSS/DHA ",67,130,153.7,11428.32,68,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL ASSURE ,PNV38/IRON CBN&GLUC/FA/DSS/DHA ,94,178,222.5,15613.00,97,  ,42,62,4402.95,  ,19,N ,N ,N ,N 
CITRANATAL ASSURE ,"PNV73/IRON,CARB&GLU/FA/DSS/DHA ",51,92,132,9559.05,50,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL B-CALM ,PRENATAL #48/IRON CB&GLU/FA/B6 ,,15,28,862.72,,  ,0,0,0.00,  ,0,N ,N ,N ,N 
CITRANATAL DHA ,PNV22/IRON CBN&GLUC/FA/DSS/DHA ,52,134,155,10734.65,53,  ,14,28,1859.79,* ,,N ,N ,N ,N 
CITRANATAL DHA ,"PNV76/IRON,CARB&GLU/FA/DSS/DHA ",14,24,32,2298.56,14,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL HARMONY ,"PNV59/IRON,CARB&FUM/FA/DSS/DHA ",29,70,90,6381.80,31,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL HARMONY ,"PNV59/IRON,CARBONYL/FA/DSS/DHA ",29,53,69,4574.45,28,* ,,,,* ,,N ,N ,N ,N 
CITRANATAL RX ,PNV NO.22/IRON CBN&GLUC/FA/DSS ,37,96,157.6,6611.27,36,  ,48,89.6,4113.50,  ,12,N ,N ,N ,N 
CLAFORAN ,CEFOTAXIME SODIUM ,67,189,190.2,11206.23,83,  ,144,144,7997.88,  ,63,N ,Y ,N ,N 
CLARAVIS ,ISOTRETINOIN ,873,2192,2197.4,889436.09,870,  ,963,965.4,321332.33,  ,407,N ,N ,N ,N 
CLARINEX ,DESLORATADINE ,2510,9705,16664.7,2617455.64,2454,  ,8185,14561.6,2259869.97,  ,2109,N ,N ,N ,N 
CLARINEX-D 12 HOUR ,DESLORATADINE/PSEUDOEPHEDRINE ,1454,4096,5955,1215027.20,1602,  ,2594,4016.4,803027.62,  ,1087,N ,N ,N ,N 
CLARINEX-D 24 HOUR ,DESLORATADINE/PSEUDOEPHEDRINE ,43,52,56,8243.97,42,  ,37,41,6001.42,  ,30,N ,N ,N ,N 
CLARITHROMYCIN ,CLARITHROMYCIN ,120476,400018,406910.7,25054912.95,325822,  ,306685,312776.4,18803464.62,  ,250441,N ,Y ,N ,N 
CLARITHROMYCIN ER ,CLARITHROMYCIN ,15682,48496,49074.3,3285650.34,38885,  ,39006,39506.8,2597926.09,  ,31682,N ,Y ,N ,N 
CLEANSING WASH ,SULFACETAMIDE SOD/SULFUR/UREA ,,13,13,2560.04,,* ,,,,* ,,N ,N ,N ,N 
CLEMASTINE FUMARATE ,CLEMASTINE FUMARATE ,1954,11076,14687.9,229157.18,3457,  ,7123,10038.1,155325.71,  ,2329,N ,N ,Y ,N 
CLEOCIN ,CLINDAMYCIN PHOSPHATE ,1955,3035,3071.8,387740.99,2439,  ,1987,2020.6,253000.66,  ,1646,N ,N ,N ,N 
CLEOCIN HCL ,CLINDAMYCIN HCL ,182,233,240,33196.71,167,  ,189,196,28422.26,  ,132,N ,Y ,N ,N 
CLEOCIN PALMITATE ,CLINDAMYCIN PALMITATE HCL ,32,46,46,9429.12,36,  ,24,24,4664.77,  ,16,N ,Y ,N ,N 
CLEOCIN PHOSPHATE ,CLINDAMYCIN PHOSPHATE ,279,628,631,58360.46,290,  ,366,369,33877.10,  ,187,N ,Y ,N ,N 
CLEOCIN PHOSPHATE IN D5W ,CLINDAMYCIN PHOSPHATE/D5W ,105,253,256.6,39230.01,124,  ,179,180.8,24990.06,  ,84,N ,Y ,N ,N 
CLEOCIN T ,CLINDAMYCIN PHOSPHATE ,98,191,220,22908.29,96,  ,128,143,15047.94,  ,68,N ,N ,N ,N 
CLICKFINE ,"NEEDLES, INSULIN DISPOSABLE ",19657,73959,126729.4,1531000.38,27769,  ,55006,96801.2,1140167.64,  ,20593,N ,N ,N ,N 
CLIMARA ,ESTRADIOL ,8498,36440,80921.3,5382455.41,10089,  ,32002,72539.9,4776574.53,  ,8949,N ,N ,Y ,N 
CLIMARA PRO ,ESTRADIOL/LEVONORGESTREL ,1868,7756,11539.8,1386198.86,1858,  ,5977,9342.8,1116458.86,  ,1420,N ,N ,Y ,N 
CLINDACIN ETZ ,CLINDAMYCIN PHOS/SKIN CLNSR 19 ,,12,12,3139.65,,* ,,,,* ,,N ,N ,N ,N 
CLINDACIN ETZ ,CLINDAMYCIN PHOSPHATE ,,12,12,775.99,,* ,,,,* ,,N ,N ,N ,N 
CLINDACIN P ,CLINDAMYCIN PHOSPHATE ,75,151,193.9,8916.61,79,  ,85,115.5,4047.01,  ,49,N ,N ,N ,N 
CLINDACIN PAC ,CLINDAMYCIN PHOS/SKIN CLNSR 19 ,15,24,24,7316.88,16,* ,,,,* ,,N ,N ,N ,N 
CLINDAGEL ,CLINDAMYCIN PHOSPHATE ,516,684,788.7,466550.08,550,  ,456,543.4,320820.22,  ,374,N ,N ,N ,N 
CLINDAMAX ,CLINDAMYCIN PHOSPHATE ,12,14,14,849.97,12,* ,,,,* ,,N ,N ,N ,N 
CLINDAMYCIN HCL ,CLINDAMYCIN HCL ,430995,2029546,2037392.4,21000373.81,1474982,  ,1499340,1505586.4,14444828.83,  ,1093715,N ,Y ,N ,N 
CLINDAMYCIN PALMITATE HCL ,CLINDAMYCIN PALMITATE HCL ,3220,3993,4000.1,735736.05,3197,  ,2617,2623.2,479343.90,  ,2118,N ,Y ,N ,N 
CLINDAMYCIN PEDIATRIC ,CLINDAMYCIN PALMITATE HCL ,2488,3010,3016.3,558249.89,2411,  ,1857,1859,327828.88,  ,1536,N ,Y ,N ,N 
CLINDAMYCIN PHOS-BENZOYL PEROX ,CLINDAMYCIN PHOS/BENZOYL PEROX ,1460,2850,2970.5,425338.44,1595,  ,1389,1471.8,210652.69,  ,895,N ,N ,N ,N 
CLINDAMYCIN PHOSPHATE ,CLINDAMYCIN PHOSPHATE ,76521,354139,369874.6,27344812.39,188006,  ,199894,211020.8,15676682.04,  ,121731,N ,Y ,N ,N 
CLINDAMYCIN PHOSPHATE-D5W ,CLINDAMYCIN PHOSPHATE/D5W ,301,819,819,92261.90,339,  ,606,606,63150.98,  ,270,N ,Y ,N ,N 
CLINDAMYCIN-BENZOYL PEROXIDE ,CLINDAMYCIN PHOS/BENZOYL PEROX ,7380,17292,18040.3,4733782.50,8706,  ,6127,6513.6,1636460.06,  ,3809,N ,N ,N ,N 
CLINDESSE ,CLINDAMYCIN PHOSPHATE ,454,590,596.4,57980.53,507,  ,393,399.4,40447.15,  ,345,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 4.25%/DEXTROSE 10% ,,51,51,5221.09,,  ,21,21,2773.99,* ,,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 5 %/DEXTROSE 15 % ,16,190,190,59457.97,16,  ,91,91,28161.64,* ,,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 5 %/DEXTROSE 20 % ,,107,107,12090.35,,# ,,,,# ,,N ,N ,N ,N 
CLINIMIX ,AMINO ACIDS 5 %/DEXTROSE 25 % ,,34,34,12648.78,,* ,,,,* ,,N ,N ,N ,N 
CLINIMIX E ,AA 4.25%/CALCIUM/LYTES/D25W ,,39,39,6127.31,,# ,,,,# ,,N ,N ,N ,N 
CLINIMIX E ,AA 4.25%/CALCIUM/LYTES/D5W ,,40,40,14529.05,,  ,26,26,5330.38,* ,,N ,N ,N ,N 
CLINIMIX E ,AA 4.25%/CALCIUM/LYTES/DEX 10% ,18,209,211,35954.47,16,  ,155,157,17723.28,# ,,N ,N ,N ,N 
CLINIMIX E ,AA 5 %/CALCIUM/LYTES/DEXT 15 % ,26,230,230,45021.96,27,  ,152,152,29920.54,  ,14,N ,N ,N ,N 
CLINIMIX E ,AA 5 %/CALCIUM/LYTES/DEXT 20 % ,13,52,52,14309.66,13,# ,,,,# ,,N ,N ,N ,N 
CLINISOL ,PARENTERAL AMINO ACID 15% NO.1 ,592,15097,15097,2387129.17,1003,  ,8490,8490,1297614.19,  ,595,N ,N ,N ,N 
CLINPRO 5000 ,SODIUM FLUORIDE ,595,1240,1655.6,16033.90,737,  ,1093,1487.8,14284.04,  ,653,N ,N ,N ,N 
CLOBETASOL EMOLLIENT ,CLOBETASOL PROPIONATE/EMOLL ,22181,61947,65221.4,4775653.96,37175,  ,52380,55345.9,3972401.15,  ,31902,N ,N ,N ,N 
CLOBETASOL EMULSION ,CLOBETASOL PROPIONATE/EMOLL ,1280,2014,2286.8,726316.69,1408,  ,1767,2027.6,640269.94,  ,1241,N ,N ,N ,N 
CLOBETASOL PROPIONATE ,CLOBETASOL PROPIONATE ,193415,1953873,2042964.2,167395239.24,997992,  ,1639913,1720778.6,138701125.51,  ,861434,N ,N ,N ,N 
CLOBEX ,CLOBETASOL PROPIONATE ,5785,15107,16661.8,8473569.50,8262,  ,12532,13936,6970216.76,  ,7161,N ,N ,N ,N 
CLOCORTOLONE PIVALATE ,CLOCORTOLONE PIVALATE ,1601,2898,2968,1021886.85,2242,  ,2551,2611.3,890909.87,  ,2024,N ,N ,N ,N 
CLODAN ,CLOBETASOL PROPIONATE ,36,38,38,8272.23,36,# ,,,,# ,,N ,N ,N ,N 
CLODERM ,CLOCORTOLONE PIVALATE ,1785,3203,3460.2,1411542.60,2415,  ,2779,3014.2,1219409.72,  ,2154,N ,N ,N ,N 
CLOMIPHENE CITRATE ,CLOMIPHENE CITRATE ,14,38,61.1,1403.54,17,  ,24,41.1,1023.30,# ,,N ,N ,N ,N 
CLOMIPRAMINE HCL ,CLOMIPRAMINE HCL ,16170,135776,154202.8,79326050.54,17988,  ,41627,52614.7,23316959.97,  ,6409,N ,N ,Y ,N 
CLONAZEPAM ,CLONAZEPAM ,306714,9814501,10876573.1,73084556.68,1488470,  ,4730846,5546945.7,35915348.93,  ,811660,N ,N ,N ,N 
CLONIDINE ,CLONIDINE ,75040,550362,684881.8,97649164.03,105173,  ,445159,562260.8,79250993.09,  ,83242,N ,N ,N ,N 
CLONIDINE HCL ,CLONIDINE HCL ,269082,4882326,6934058.1,43218813.32,979454,  ,3456405,5181262.3,31478990.97,  ,717510,N ,N ,N ,N 
CLONIDINE HCL ER ,CLONIDINE HCL ,1376,3822,4872.1,977299.82,1373,  ,1957,2836.2,510439.29,  ,863,N ,N ,N ,N 
