Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
CROMOLYN SODIUM,CROMOLYN SODIUM,18631,98421,115806.4,4672314.03,43146,,77634,92114.2,2755234.60,,34792,65327.22,442684.74,N,N,N,N
CRYSELLE,NORGESTREL-ETHINYL ESTRADIOL,3408,18414,23320.4,421974.30,3098,,85,102.1,1934.96,,24,16610.53,23590.60,N,N,N,N
CUBICIN,DAPTOMYCIN,5720,35378,35380.8,97653263.93,8376,,18074,18076.7,45977834.17,,4506,141715.32,4049771.68,N,N,Y,N
CUBICIN RF,DAPTOMYCIN,138,455,455.0,1347999.53,159,,197,197,594281.35,,75,1350.70,60641.78,N,N,Y,N
CUPRIMINE,PENICILLAMINE,293,1637,2092.7,39310532.27,268,,935,1291.1,22374881.14,,159,3450.94,335928.29,N,N,N,N
CURAD GAUZE PADS,GAUZE BANDAGE,11,17,17.0,140.60,,*,,,,*,,36.39,2.95,N,N,N,N
CURITY,GAUZE BANDAGE,46,119,134.3,601.60,54,,75,83.3,359.92,,34,33.90,22.94,N,N,N,N
CURITY ALCOHOL PREPS,ALCOHOL ANTISEPTIC PADS,593,1960,2430.1,5575.32,729,,1396,1698.9,4009.74,,494,983.65,477.23,N,N,N,N
CUTIVATE,FLUTICASONE PROPIONATE,29,41,46.7,44702.90,30,#,,,,#,,39.80,1172.06,N,N,N,N
CUVPOSA,GLYCOPYRROLATE,572,2027,2167.2,928578.02,558,,845,923.9,308435.15,,341,1217.80,22223.44,N,N,N,N
CYANOCOBALAMIN INJECTION,CYANOCOBALAMIN (VITAMIN B-12),2395,13422,21569.7,254650.97,3845,,12028,19194.4,225217.53,,3400,13892.84,73479.91,N,N,N,N
CYCLAFEM,NORETHINDRONE-ETHINYL ESTRAD,2093,10954,13890.6,260087.46,1887,,71,118.3,2183.34,,21,8481.69,16652.21,N,N,N,N
CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,338071,3425874,3794439.0,31434346.26,1236976,,1015916,1172312.2,10970363.80,,524884,2353463.77,6085429.60,N,N,N,N
CYCLOGYL,CYCLOPENTOLATE HCL,414,615,739.9,26434.30,519,,481,574.2,20803.52,,407,520.05,7883.15,N,N,N,N
CYCLOMYDRIL,CYCLOPENTOLATE/PHENYLEPHRINE,13,30,30.0,1114.54,28,#,,,,#,,13.81,693.55,N,N,N,N
CYCLOPENTOLATE HCL,CYCLOPENTOLATE HCL,6929,24674,31069.8,392208.61,18796,,21333,26745.1,329836.03,,16541,9681.79,165454.96,N,N,N,N
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,2551,9565,10722.1,6402097.79,2607,,7550,8495.6,5013393.16,,2121,20323.78,788312.70,N,N,N,N
CYCLOSERINE,CYCLOSERINE,32,119,133.3,196549.74,26,,84,95.8,106322.53,#,,25.00,10400.94,N,N,N,N
CYCLOSET,BROMOCRIPTINE MESYLATE,1002,6804,10359.2,3705803.14,1350,,5799,9038.6,3221432.11,,1158,10831.95,486551.48,N,N,N,N
CYCLOSPORINE,CYCLOSPORINE,3192,14758,18811.0,6156069.15,3106,,10053,12982.5,4022228.94,,2154,17134.89,697110.49,N,N,N,N
CYCLOSPORINE,"CYCLOSPORINE, MODIFIED",257,757,925.2,230096.73,224,,498,578.9,140680.76,,155,598.10,23437.08,N,N,N,N
CYCLOSPORINE MODIFIED,"CYCLOSPORINE, MODIFIED",6923,46721,63649.2,7504465.21,8236,,31286,43613.7,4961987.17,,5721,43810.60,1345154.70,N,N,N,N
CYMBALTA,DULOXETINE HCL,14782,77369,104858.6,30086172.06,13232,,43464,62386.4,16965920.00,,7962,175617.39,3456752.69,N,N,N,N
CYPROHEPTADINE HCL,CYPROHEPTADINE HCL,28304,142225,159660.2,5643316.59,48225,,94534,107527.3,3674912.00,,34609,112994.94,818235.35,N,N,N,N
CYRAMZA,RAMUCIRUMAB,56,340,340.0,2482636.40,69,,235,235,1827387.05,,53,141.60,52543.10,N,N,N,N
CYRED,DESOGESTREL-ETHINYL ESTRADIOL,16,56,65.0,1078.57,14,,0,0,0.00,,0,58.30,25.87,N,N,N,N
CYSTADANE,BETAINE,65,641,714.5,1734550.70,64,,88,109.6,180253.84,*,,383.00,16498.33,N,N,N,N
CYSTAGON,CYSTEAMINE BITARTRATE,28,150,213.5,62900.32,24,,0,0,0.00,,0,762.38,1057.10,N,N,N,N
CYSTARAN,CYSTEAMINE HCL,54,397,397.5,2120201.25,53,,18,18,95437.38,*,,1303.08,8370.68,N,N,N,N
CYTARABINE,CYTARABINE,17,58,58.0,1219.07,16,,45,45,603.00,#,,100.49,247.92,N,N,N,N
CYTARABINE,CYTARABINE/PF,61,144,146.7,3822.94,55,#,,,,#,,10.15,1412.32,N,N,N,N
CYTOGAM,CYTOMEGALOVIRUS IMMUNE GLOBULN,12,63,63.0,367367.14,11,,11,11,96485.00,*,,18.40,5368.54,N,N,N,N
CYTOMEL,LIOTHYRONINE SODIUM,3655,19142,33559.1,2431199.06,4144,,16181,28960.2,2020253.91,,3538,13028.74,924445.08,N,N,N,N
CYTOTEC,MISOPROSTOL,36,106,163.0,54757.04,34,,76,125,31707.30,#,,132.87,5243.97,N,N,N,N
CYTOVENE,GANCICLOVIR SODIUM,,22,22.0,12375.07,,#,,,,#,,0.00,4608.91,N,N,N,N
D.H.E.45,DIHYDROERGOTAMINE MESYLATE,,16,16.2,183003.54,,*,,,,*,,11.00,1255.65,N,N,N,N
DACARBAZINE,DACARBAZINE,18,59,59.0,4893.60,18,,40,40,2821.12,#,,38.10,456.06,N,N,N,N
DACOGEN,DECITABINE,,19,19.0,193052.97,,,19,19,193052.97,*,,1043.18,120.00,N,N,N,N
DAKLINZA,DACLATASVIR DIHYDROCHLORIDE,3176,18508,18534.9,392207727.18,5489,,6936,6937.8,146630589.24,,1999,238793.19,5827755.97,N,N,N,N
DALIRESP,ROFLUMILAST,37238,375480,467803.5,128871267.62,66139,,273124,344136.1,93721446.75,,49108,910393.65,10524965.59,N,N,N,N
DALVANCE,DALBAVANCIN HCL,135,366,366.8,1087016.88,173,,176,176,574330.30,,107,2038.80,65014.81,N,N,Y,N
DANAZOL,DANAZOL,2079,9896,12901.9,2852701.28,2081,,8105,10792.8,2312237.02,,1723,11338.95,361234.15,N,N,N,N
DANTRIUM,DANTROLENE SODIUM,57,315,399.0,62205.67,49,,90,106.4,10062.67,,14,193.64,4535.36,N,N,N,N
DANTROLENE SODIUM,DANTROLENE SODIUM,6397,45084,52734.5,4683235.09,6347,,12755,15452.7,1147340.97,,2052,21253.59,321134.75,N,N,N,N
DAPSONE,DAPSONE,17777,100070,128054.4,9361853.80,21764,,59026,80780.4,6172101.71,,13368,59377.00,1780393.59,N,N,N,N
DAPTACEL DTAP,"DIPH,PERTUSS(ACELL),TET PED/PF",115,132,132.0,8950.57,131,,120,120,8351.96,,119,33.00,4877.83,N,N,N,N
DAPTOMYCIN,DAPTOMYCIN,1125,4544,4544.4,11159632.91,1251,,2317,2317.4,5256275.97,,673,3683.99,439214.40,N,N,Y,N
DARAPRIM,PYRIMETHAMINE,337,1376,1443.0,46848637.60,300,,266,282,8877479.04,,89,11691.06,311673.75,N,N,N,N
DARIFENACIN ER,DARIFENACIN HYDROBROMIDE,12039,47627,78139.3,17931304.11,13224,,41439,69911.1,15944142.68,,11774,25327.36,1363178.30,N,N,N,N
DARZALEX,DARATUMUMAB,74,405,419.1,5062387.71,88,,315,327.3,4087824.51,,72,54.60,147820.14,N,N,N,N
DASETTA,NORETHINDRONE-ETHINYL ESTRAD,1569,7932,9838.3,179705.12,1393,,21,44.1,569.64,*,,6479.97,9011.97,N,N,N,N
DAYPRO,OXAPROZIN,99,373,574.1,184845.46,91,,329,516.4,164829.40,#,,376.91,24015.21,N,N,N,N
DAYSEE,L-NORGEST/E.ESTRADIOL-E.ESTRAD,341,660,1961.2,97992.54,312,*,,,,*,,1039.27,5523.93,N,N,N,N
DAYTRANA,METHYLPHENIDATE,392,1501,1581.3,544946.99,315,,317,357.3,121246.82,,75,2779.17,49670.51,N,N,N,N
DDAVP,DESMOPRESSIN (NONREFRIGERATED),145,641,842.6,818891.83,113,,255,358.3,246425.21,,50,816.20,41655.42,N,N,N,N
DDAVP,DESMOPRESSIN ACETATE,240,1045,1289.3,1489402.70,201,,384,514.9,336083.89,,87,1155.90,31511.16,N,N,N,N
DEBLITANE,NORETHINDRONE,562,2038,2595.9,38593.52,535,,91,150.5,2382.30,,31,2204.97,4071.76,N,N,N,N
DECITABINE,DECITABINE,42,215,218.5,1580081.51,56,,201,204.5,1454493.40,#,,45.75,55824.88,N,N,N,N
DEFEROXAMINE MESYLATE,DEFEROXAMINE MESYLATE,71,868,876.9,205687.40,77,,422,430.9,67627.67,,41,592.09,10401.02,N,N,N,N
DELESTROGEN,ESTRADIOL VALERATE,504,962,1896.7,178404.31,495,,436,936.3,77765.70,,244,2408.68,28363.33,N,N,N,N
DELTASONE,PREDNISONE,28,33,33.0,215.88,27,#,,,,#,,2.81,85.43,N,N,N,N
DELZICOL,MESALAMINE,15555,93174,128370.6,55730703.70,17946,,78278,111084.5,47242498.48,,15131,134091.18,7517843.11,N,N,N,N
DEMADEX,TORSEMIDE,274,816,1387.0,215381.46,244,,759,1306,197514.05,,222,1172.03,28442.84,N,N,N,N
DEMECLOCYCLINE HCL,DEMECLOCYCLINE HCL,5694,29164,33712.1,10046934.84,5716,,23739,27865.9,7936634.78,,4938,29342.38,893592.54,N,N,Y,N
DEMEROL,MEPERIDINE HCL,191,732,757.7,279126.33,147,,415,428.6,143016.25,,89,1431.71,29377.89,Y,N,N,N
DEMEROL,MEPERIDINE HCL/PF,454,3902,3928.8,162080.60,2622,,2373,2381.2,76978.84,,1830,1512.99,28378.42,N,N,N,N
DEMSER,METYROSINE,21,101,112.8,2033401.70,21,*,,,,*,,29.16,5941.74,N,N,N,N
DENAVIR,PENCICLOVIR,9126,15299,16530.2,13043097.99,9757,,10555,11555.3,8898040.90,,7303,26984.87,601431.22,N,N,N,N
DENTA 5000 PLUS,SODIUM FLUORIDE,15868,47322,51906.0,301624.38,23866,,38909,43114.4,242529.75,,20244,8793.53,179138.88,N,N,N,N
DENTAGEL,SODIUM FLUORIDE,5398,14737,16581.2,101417.45,7286,,12150,13863.5,82487.75,,6114,2396.50,62072.72,N,N,N,N
DEPACON,VALPROIC ACID (AS SODIUM SALT),,13,16.3,62397.63,,*,,,,*,,0.00,85.00,N,N,N,N
DEPAKENE,VALPROIC ACID,481,1134,2170.4,621035.50,521,,618,1364,252720.71,,358,1325.88,34716.98,N,N,N,N
DEPAKENE,VALPROIC ACID (AS SODIUM SALT),281,1907,2193.6,1750546.09,223,,54,56.2,42696.58,,20,1067.76,9417.91,N,N,N,N
DEPAKOTE,DIVALPROEX SODIUM,4627,34855,43744.7,18731397.25,4310,,7807,11022.6,3608802.79,,1231,60801.84,617769.32,N,N,N,N
DEPAKOTE ER,DIVALPROEX SODIUM,5635,46865,57116.7,21343315.17,5669,,9069,12623,3565967.42,,1366,83839.67,729687.15,N,N,N,N
DEPAKOTE SPRINKLE,DIVALPROEX SODIUM,1418,8541,9684.3,3731274.65,1334,,1744,2108.8,322343.26,,532,6858.92,53280.34,N,N,N,N
DEPEN,PENICILLAMINE,151,709,1026.2,4517559.72,136,,532,814,3398677.24,,97,2757.05,101322.32,N,N,N,N
DEPO-ESTRADIOL,ESTRADIOL CYPIONATE,3684,9760,23169.2,911739.04,4316,,6210,15347.8,579441.65,,2940,10831.06,252287.40,N,N,N,N
DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,2713,8792,9014.7,183970.66,6386,,7446,7637.4,154332.18,,5358,4190.25,33547.10,N,N,N,N
DEPO-PROVERA,MEDROXYPROGESTERONE ACETATE,603,1466,2508.3,543583.00,623,,367,436.8,159903.37,,131,3017.81,15737.55,N,N,N,N
DEPO-SUBQ PROVERA 104,MEDROXYPROGESTERONE ACETATE,89,203,495.3,35091.43,81,*,,,,*,,645.94,784.29,N,N,N,N
DEPO-TESTOSTERONE,TESTOSTERONE CYPIONATE,7401,22514,34871.9,1412787.42,8124,,12540,20964.4,783604.21,,4704,15340.97,366808.11,N,N,N,N
DERMA-SMOOTHE-FS,FLUOCINOLONE ACETONIDE,68,110,124.9,32007.98,67,,77,91.8,21342.53,,51,234.31,1914.35,N,N,N,N
DERMA-SMOOTHE-FS,FLUOCINOLONE/SHOWER CAP,205,360,402.7,114038.50,212,,303,341.7,96887.40,,171,570.98,11954.32,N,N,N,N
DERMACINRX SILAPAK,TRIAMCINOLONE/DIMETH/SILICONE,56,88,88.0,408280.49,75,,66,66,295969.23,,53,134.15,4061.42,N,N,N,N
DERMACINRX SILAZONE,TRIAMCINOLONE ACETON/SILICONES,47,67,67.0,269018.71,50,,23,23,93144.21,,19,1988.68,567.00,N,N,N,N
DERMASILKRX DICLOPAK,DICLOFENAC/CAPSICUM OLEORESIN,125,366,367.0,1103689.32,243,,305,305,916811.10,,192,893.35,21419.36,N,N,N,N
DERMASILKRX SDS,TRIAMCINOLONE/DIMETH/SILICONE,160,207,210.0,948315.89,178,,113,113,527377.06,,93,4428.74,9025.91,N,N,N,N
DERMASORB HC,HYDROCORTISONE/SKIN CLEANSER35,31,47,47.0,21887.91,37,#,,,,#,,17.55,2793.82,N,N,N,N
DERMASORB TA,TRIAMCINOLONE/EMOLLIENT CMB#86,60,85,87.0,40152.42,68,,66,68,31297.50,,56,251.51,2205.24,N,N,N,N
DERMATOP,PREDNICARBATE,15,22,22.5,3198.29,17,#,,,,#,,18.00,692.86,N,N,N,N
DERMOTIC,FLUOCINOLONE ACETONIDE OIL,98,151,165.7,39755.32,100,,137,145.7,36214.07,#,,127.35,5710.78,N,N,N,N
DESCOVY,EMTRICITABINE/TENOFOV ALAFENAM,3892,58878,61646.2,90204400.16,15033,,15544,16986.3,24779220.54,,3949,30838.33,705170.30,N,N,N,N
DESFERAL MESYLATE,DEFEROXAMINE MESYLATE,12,61,61.0,42546.62,12,,44,44,22711.85,*,,54.60,300.64,N,N,N,N
DESIPRAMINE HCL,DESIPRAMINE HCL,17234,96932,143911.5,10787119.30,20134,,66478,106111.4,7673184.86,,14435,68088.68,1601447.95,N,N,N,N
DESLORATADINE,DESLORATADINE,29243,148403,254462.6,6786879.47,43068,,120312,217648.1,5773433.04,,35769,56903.45,1221712.02,N,N,N,N
DESMOPRESSIN ACETATE,DESMOPRESSIN (NONREFRIGERATED),3521,14926,19326.7,3363369.50,3196,,6573,9193.7,1320260.20,,1632,13429.41,245896.52,N,N,N,N
DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,24798,188485,245856.4,17109459.54,30665,,80882,120040.8,7131262.15,,17249,112799.08,1924828.83,N,N,N,N
DESOGEN,DESOGESTREL-ETHINYL ESTRADIOL,,12,15.8,1017.12,,,0,0,0.00,,0,73.80,0.00,N,N,N,N
DESOGESTR-ETH ESTRAD ETH ESTRA,DESOG-E.ESTRADIOL/E.ESTRADIOL,157,657,817.6,21821.85,140,*,,,,*,,417.90,2304.45,N,N,N,N
DESOGESTREL-ETHINYL ESTRADIOL,DESOGESTREL-ETHINYL ESTRADIOL,288,495,626.2,9478.74,288,*,,,,*,,450.91,539.67,N,N,N,N
DESONATE,DESONIDE,997,1491,1574.4,753002.63,1111,,1228,1294.7,607792.45,,932,1919.88,71684.06,N,N,N,N
DESONIDE,DESONIDE,55188,247141,256252.8,36656759.14,154648,,202186,210181.4,29403326.29,,132104,135234.29,4319059.70,N,N,N,N
DESOWEN,DESONIDE,317,533,549.8,71356.10,353,,477,493.8,59798.29,,325,128.60,5336.08,N,N,N,N
DESOXIMETASONE,DESOXIMETASONE,38860,149399,156931.2,19876593.11,85194,,129212,136146.3,16919772.74,,75411,85480.71,2698119.58,N,N,N,N
DESOXYN,METHAMPHETAMINE HCL,98,490,529.9,830156.65,75,,174,191.4,325299.60,,27,1109.08,30791.76,N,N,N,N
DESVENLAFAXINE ER,DESVENLAFAXINE,2415,11266,13187.1,1939707.01,2582,,6095,7447,1050870.05,,1361,11814.53,198578.23,N,N,N,N
DESVENLAFAXINE FUMARATE ER,DESVENLAFAXINE FUMARATE,29,56,66.0,8764.42,28,,22,30,3607.93,,15,29.20,1850.84,N,N,N,N
DETROL,TOLTERODINE TARTRATE,252,901,1401.8,421993.39,232,,741,1204.9,351560.72,,196,867.87,42103.11,N,N,N,N
DETROL LA,TOLTERODINE TARTRATE,3499,13741,22492.2,6787103.13,3254,,11312,19103.2,5681965.14,,2751,17331.86,621591.74,N,N,N,N
DEXAMETHASONE,DEXAMETHASONE,117003,778453,839137.1,10110717.25,393928,,647539,700364.7,8525661.22,,323348,147125.62,2753343.75,N,N,N,N
DEXAMETHASONE INTENSOL,DEXAMETHASONE,838,1334,1399.6,122812.29,853,,1033,1078.6,86659.79,,667,801.28,18859.09,N,N,N,N
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SOD PHOSPHATE,19925,98295,112044.0,4315619.69,57111,,83410,95932.4,3795816.43,,48461,35525.94,719079.28,N,N,N,N
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSP/PF,257,987,1002.6,17519.08,437,,795,807.8,14627.95,,353,309.46,3830.97,N,N,N,N
DEXEDRINE,DEXTROAMPHETAMINE SULFATE,448,2254,2599.0,4019227.31,321,,1201,1438.5,2030850.66,,176,6025.36,177941.30,N,N,N,N
DEXILANT,DEXLANSOPRAZOLE,120486,1723497,2314646.1,550258030.41,313985,,1245085,1703889,400355153.33,,233815,3805202.40,48907999.43,N,N,N,N
DEXMETHYLPHENIDATE HCL,DEXMETHYLPHENIDATE HCL,2650,11843,12764.2,674336.20,2435,,4667,5310,263677.21,,1009,10309.08,158321.72,N,N,N,N
DEXMETHYLPHENIDATE HCL ER,DEXMETHYLPHENIDATE HCL,3130,14913,16056.8,3157152.27,2694,,3935,4738.5,956476.73,,818,14493.27,347349.40,N,N,N,N
DEXPAK,DEXAMETHASONE,721,1062,1063.7,258384.81,948,,800,801.7,195676.14,,720,1468.59,49810.27,N,N,N,N
DEXRAZOXANE,DEXRAZOXANE HCL,,12,12.0,24761.03,,,12,12,24761.03,*,,2.95,0.00,N,N,N,N
DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,9687,53744,59009.1,7758828.28,9075,,27407,31262.9,3860123.51,,4974,65785.41,1203887.72,N,N,N,N
DEXTROAMPHETAMINE SULFATE ER,DEXTROAMPHETAMINE SULFATE,9057,52345,58835.7,13725079.85,7783,,25491,30328.7,6398394.79,,4033,74974.63,1588651.38,N,N,N,N
DEXTROAMPHETAMINE-AMPHET ER,DEXTROAMPHETAMINE/AMPHETAMINE,49116,416753,438121.3,59751223.56,62208,,114397,127085.9,16548081.95,,18892,579472.31,6290770.84,N,N,N,N
DEXTROAMPHETAMINE-AMPHETAMINE,DEXTROAMPHETAMINE/AMPHETAMINE,85077,1117544,1161482.3,53142763.33,156131,,295152,319375.4,13969904.15,,49584,1354281.66,10251606.85,N,N,N,N
DEXTROSE 5%-0.2% NACL,DEXTROSE 5 %-0.2 % SOD CHLORID,174,615,615.0,14441.33,240,,511,511,10784.57,,226,82.18,1142.03,N,N,N,N
DEXTROSE 5%-0.2% NACL-KCL,POTASSIUM CHLORIDE/D5-0.2%NACL,,32,32.0,991.14,15,,32,32,991.14,,15,0.00,0.00,N,N,N,N
DEXTROSE 5%-0.225% NACL,DEXTROSE 5 %-0.2 % SOD CHLORID,48,83,83.0,2017.59,54,#,,,,#,,5.35,200.44,N,N,N,N
DEXTROSE 5%-0.33% NACL,DEXTROSE 5 % AND 0.3 % NACL,,22,22.0,302.58,,#,,,,#,,0.00,106.04,N,N,N,N
DEXTROSE 5%-0.45% NACL,DEXTROSE 5 %-0.45 % SOD CHLORD,7751,36667,36701.1,688705.08,19710,,32896,32928.1,604539.92,,18334,7701.24,46797.00,N,N,N,N
DEXTROSE 5%-0.45% NACL-KCL,POTASSIUM CHLORIDE/D5-0.45NACL,1002,3166,3166.6,75256.30,1333,,2262,2262.2,47101.77,,1168,723.91,6388.49,N,N,N,N
DEXTROSE 5%-0.9% NACL,DEXTROSE 5 % AND 0.9 % NACL,3531,10129,10138.4,205819.36,5765,,8259,8268.4,154005.27,,5150,2772.40,15426.32,N,N,N,N
DEXTROSE 5%-1/2NS-KCL,POTASSIUM CHLORIDE/D5-0.45NACL,235,567,567.0,19443.25,276,,519,519,18374.27,,247,76.37,2500.98,N,N,N,N
DEXTROSE 5%-NS-KCL,POTASSIUM CHLORIDE/D5-0.9%NACL,101,297,297.0,9420.29,104,,139,139,3737.48,,74,67.95,346.63,N,N,N,N
DEXTROSE 5%-POTASSIUM CHLORIDE,POTASSIUM CHLORIDE IN D5W,69,119,119.0,3644.42,78,#,,,,#,,8.95,252.69,N,N,N,N
DEXTROSE IN LACTATED RINGERS,DEXTROSE 5%-LACTATED RINGERS,204,1127,1127.0,39482.95,531,,796,796,27563.04,,481,655.12,2548.85,N,N,N,N
DEXTROSE IN WATER,DEXTROSE 10 % IN WATER,194,369,369.0,6412.69,205,,203,203,2911.45,,153,103.39,492.37,N,N,N,N
DEXTROSE IN WATER,DEXTROSE 5 % IN WATER,5546,23329,23349.6,545111.62,9958,,19047,19063.5,438075.38,,8794,4304.68,30843.39,N,N,N,N
DEXTROSE IN WATER,DEXTROSE 50 % IN WATER,545,839,841.0,11746.96,628,,609,611,8042.84,,516,225.49,644.18,N,N,N,N
DEXTROSE IN WATER,DEXTROSE 70 % IN WATER,1251,38711,38711.5,2292191.08,1750,,23846,23846.2,1400908.48,,1076,18582.57,93499.31,N,N,N,N
DIABETA,GLYBURIDE,76,144,202.9,18287.51,71,#,,,,#,,179.86,3990.97,N,N,N,N
DIALYVITE,FOLIC ACID/VIT B COMPLEX AND C,,24,42.0,112.26,,,13,31,96.51,*,,0.00,57.55,N,N,N,N
DIALYVITE 3000,FOLIC ACID/B CPLX/C/SELEN/ZINC,,18,18.0,140.22,,,18,18,140.22,*,,0.00,0.00,N,N,N,N
DIAMOX SEQUELS,ACETAZOLAMIDE,198,739,962.8,438957.37,190,,398,564.1,215353.30,,117,1695.72,36414.88,N,N,N,N
DIANEAL WITH 1.5% DEXTROSE,PERIT. DIALYSIS NO.6-1.5 % DEX,,73,73.0,31987.65,,,0,0,0.00,,0,50.40,0.00,N,N,N,N
DIASTAT,DIAZEPAM,43,80,80.9,48567.86,40,,13,13,5290.21,,12,31.60,1392.52,N,N,N,N
DIASTAT ACUDIAL,DIAZEPAM,728,1560,1598.7,1059700.45,749,,214,224,207439.55,,142,986.80,7483.21,N,N,N,N
DIAZEPAM,DIAZEPAM,338722,4126495,4458982.3,30557757.10,1057024,,2233627,2490932.7,12533092.98,,692195,2173298.24,8114673.78,N,N,N,N
DIBENZYLINE,PHENOXYBENZAMINE HCL,28,122,165.0,2838647.75,27,,47,73.6,1002144.05,,11,44.00,13177.17,N,N,N,N
DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,50653,475781,535069.8,19893615.55,195500,,327871,375763.1,13819721.40,,137860,180638.79,2039717.28,N,N,N,N
DICLOFENAC SODIUM,DICLOFENAC SODIUM,250483,3199304,4037191.4,229696334.21,1293999,,2429790,3140842.3,160974137.83,,1016380,1943570.50,21262283.33,N,N,N,N
DICLOFENAC SODIUM ER,DICLOFENAC SODIUM,30164,196989,274121.9,4498053.18,67029,,150562,218204.5,3541179.73,,51745,101896.66,1287456.58,N,N,N,N
DICLOFENAC SODIUM-MISOPROSTOL,DICLOFENAC SODIUM/MISOPROSTOL,19203,74705,115819.3,14306713.93,23210,,64955,103096.4,12665517.60,,20151,36457.87,1906201.02,N,N,N,N
DICLOTRAL,DICLOFENAC/CAPSICUM OLEORESIN,21,62,62.0,252945.62,34,,43,43,175492.21,#,,1.20,2005.39,N,N,N,N
DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,20705,51882,56210.8,1362777.40,36627,,42301,46048.4,1105606.15,,30069,21801.75,376004.05,N,N,Y,N
DICYCLOMINE HCL,DICYCLOMINE HCL,204370,1912027,2298879.1,18590625.47,673865,,1312504,1621934.2,12873577.24,,477760,816200.98,5047610.89,N,N,N,N
DIDANOSINE,DIDANOSINE,711,5663,6353.9,1149655.21,804,,1434,1786.3,316617.02,,227,3967.03,29154.54,N,N,N,N
DIETHYLPROPION HCL ER,DIETHYLPROPION HCL,,13,13.0,356.92,,*,,,,*,,0.00,28.36,N,N,N,N
DIFFERIN,ADAPALENE,602,1262,1481.9,282980.92,730,,734,872.9,135983.84,,465,813.97,15528.37,N,N,N,N
DIFICID,FIDAXOMICIN,5064,7208,7209.6,24490777.32,5397,,5757,5758.6,19312183.29,,4339,54493.08,2364843.96,N,N,Y,N
DIFLORASONE DIACETATE,DIFLORASONE DIACETATE,4495,11140,11885.8,5844261.96,5828,,9299,9974.1,4498683.94,,5001,6608.29,236880.76,N,N,N,N
DIFLUCAN,FLUCONAZOLE,878,1497,1609.6,573069.88,772,,1061,1140.5,275075.12,,555,1247.07,37080.54,N,N,N,N
DIFLUNISAL,DIFLUNISAL,7396,42197,57177.0,3464440.88,15883,,31989,45148.6,2693429.95,,12134,26760.74,728544.72,N,N,N,N
DIGITEK,DIGOXIN,51824,230731,386554.4,8987584.35,79505,,205911,349703.8,8048104.61,,72244,139579.70,2694379.68,N,N,N,N
DIGOX,DIGOXIN,126081,1150784,1925685.4,45847714.53,283613,,1046222,1765762.5,41732935.33,,259007,556766.40,11241516.62,N,N,N,N
DIGOXIN,DIGOXIN,180890,2739654,4500158.5,104448042.98,552895,,2497513,4142994.3,95816123.52,,506247,1295585.39,26332441.70,N,N,N,N
DIHYDROCODEIN-ACETAMINOPH-CAFF,ACETAMINOPHEN/CAFF/DIHYDROCOD,437,1496,1542.5,326990.99,756,,752,768.2,149004.57,,445,1477.55,16560.14,Y,N,N,N
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,1304,4407,4768.1,9843653.98,1589,,1372,1565,3193703.17,,499,5622.71,230270.29,N,N,N,N
DILANTIN,PHENYTOIN,3560,24174,31074.3,1906957.38,3505,,10201,14333.4,652855.64,,1704,14942.94,225134.78,N,N,N,N
DILANTIN,PHENYTOIN SODIUM EXTENDED,30438,262278,360255.7,28120174.67,34766,,152229,224381.9,16887692.64,,21929,245879.07,6149067.42,N,N,N,N
DILANTIN-125,PHENYTOIN,379,2507,2810.8,435736.99,320,,910,1019.9,145591.23,,130,2121.44,18365.32,N,N,N,N
DILATRATE-SR,ISOSORBIDE DINITRATE,121,429,711.4,121320.35,105,,388,660.4,111969.15,,94,922.06,22692.42,N,N,N,N
DILAUDID,HYDROMORPHONE HCL,1058,5823,5919.6,3057720.01,782,,2107,2159.7,985473.30,,323,14074.30,141917.91,Y,Y,N,N
DILAUDID,HYDROMORPHONE HCL/PF,22,80,80.0,9903.74,23,,20,20,1002.32,*,,203.87,815.81,N,N,N,N
DILT-CD,DILTIAZEM HCL,22,45,59.0,939.65,22,#,,,,#,,36.47,204.00,N,N,N,N
